subject,description,priority,category,predicted_priority,predicted_priority_confidence,predicted_category,predicted_category_confidence,error
API returning Timeout Error,Our application is receiving a consistent 'Timeout Error' from the /v1/auth/token endpoint. This started a few minutes ago.,Critical,Technical,Critical,0.9923,Technical,0.9992,
"Incorrect charge of $1,200","I was charged $1,200 but my plan is the Starter plan, which should be a different price. Please correct this and refund the difference.",High,Billing,High,0.9988,Billing,0.9986,
Request to delete account,Please proceed with the permanent deletion of our account (Innovate Inc.) and all associated data as per our company policy.,Medium,Account,Medium,0.9959,Account,0.998,
Feature Idea: 2FA support via authenticator app,It would be extremely helpful if you could add a 2FA support via authenticator app. This would help us update payment info much more efficiently.,Low,Feature Request,Low,0.9984,Feature Request,0.9954,
Dashboard not loading,The reporting module is showing a blank white screen. No data is loading. This is impacting all our users since this morning.,Critical,Technical,Critical,0.9941,Technical,0.9991,
High latency in US-West-2,We're observing response times of over 2.5s from the core application in US-West-2. This is a major degradation.,High,Technical,High,0.9985,Technical,0.9991,
UI bug on user profile,"When we try to save changes on the user profile, the user management page behaves unexpectedly. It should do X but it does Y instead.",Medium,Technical,Medium,0.9953,Technical,0.9991,
Payment method declined,My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?,High,Billing,High,0.9988,Billing,0.9986,
Feature Idea: role-based access control,It would be extremely helpful if you could add a role-based access control. This would help us view reports much more efficiently.,Low,Feature Request,Low,0.9985,Feature Request,0.9955,
Request to delete account,Please proceed with the permanent deletion of our account (Stellar Solutions) and all associated data as per our company policy.,Medium,Account,Medium,0.9959,Account,0.998,
Need to change primary email,"I need to update the primary email address on my account, but the interface does not allow me to change it.",Medium,Account,Medium,0.9955,Account,0.998,
Export to XLSX is broken,The data export feature for XLSX is generating an empty or corrupted file. We have tried multiple times.,High,Technical,High,0.9989,Technical,0.9991,
Add team member to QuantumLeap,How do I invite a new developer to our team? I can't find the option in the account settings.,Low,Account,Low,0.9981,Account,0.998,
Authentication failure for v2/users,Our application is receiving a consistent '401 Unauthorized' from the /v2/users endpoint. This started yesterday at 4 PM UTC.,High,Technical,High,0.9986,Technical,0.9991,
Webhook delivery failing,We stopped receiving 'user.created' webhooks. The last successful delivery was this morning. We have checked our endpoint and it is healthy.,High,Technical,High,0.9988,Technical,0.9991,
Cannot update payment info,Multiple users are unable to update payment info when using from our mobile app (iOS). The console shows a JavaScript error.,High,Technical,High,0.9988,Technical,0.9991,
Need to cancel subscription,Please cancel our Pro subscription at the end of the current billing cycle. We no longer require the service.,Medium,Billing,Medium,0.9958,Billing,0.9986,
Suggestion for API endpoint /v1/invoices,Could you enhance the /v1/invoices endpoint to include sorting by metadata? This would save us from making multiple API calls.,Low,Feature Request,Low,0.9984,Feature Request,0.9954,
User permission bug,A user with an 'Admin' role cannot access the API keys section; they are getting a 'permission denied' error.,High,Account,High,0.9988,Account,0.9981,
Question about billing cycle,"My billing cycle is supposed to be on the 15th of the month, but I was just charged today. Can you clarify why?",Medium,Billing,Medium,0.9952,Billing,0.9986,
Incorrect charge of $499,"I was charged $499 but my plan is the Starter plan, which should be a different price. Please correct this and refund the difference.",High,Billing,High,0.9988,Billing,0.9986,
Dashboard not loading,The user management page is showing a blank white screen. No data is loading. This is impacting all our users since a few minutes ago.,Critical,Technical,Critical,0.994,Technical,0.9991,
Requesting a refund,"Due to the service outage for 3 hours, we are requesting a partial credit or refund for this month's service fee.",High,Billing,High,0.9988,Billing,0.9986,
High latency in EU-West-2,We're observing response times of over 30 seconds from the database cluster in EU-West-2. This is a major degradation.,Critical,Technical,Critical,0.9931,Technical,0.9991,
API returning 500 Internal Server Error,Our application is receiving a consistent '500 Internal Server Error' from the /v1/invoices endpoint. This started 2 hours ago.,Critical,Technical,Critical,0.9924,Technical,0.9992,
Help with SSO configuration,We are trying to set up SSO with Auth0 and are running into an 'invalid configuration' error. Can you provide assistance or documentation?,Medium,Account,,0.0,,0.0,
Data sync issue for Stellar Solutions,There is a data synchronization delay of over an hour for new records to appear on the billing history page. This is affecting our operations.,Medium,Technical,,0.0,,0.0,
UI/UX Improvement Suggestion,The current workflow for update payment info requires too many clicks. It could be streamlined by changing the UI on the billing history page.,Low,Feature Request,,0.0,,0.0,
Service is down,"Our monitoring shows your service is unreachable. The status page is green, but we are fully down. This is critical.",Critical,Technical,,0.0,,0.0,
Upgrade plan to Enterprise,We would like to upgrade our account to the Enterprise tier. Please provide instructions on how to proceed.,Low,Billing,,0.0,,0.0,
"Incorrect charge of $1,200","I was charged $1,200 but my plan is the Pro plan, which should be a different price. Please correct this and refund the difference.",High,Billing,,0.0,,0.0,
Request to delete account,Please proceed with the permanent deletion of our account (NextGen Systems) and all associated data as per our company policy.,Medium,Account,,0.0,,0.0,
Add team member to Innovate Inc.,How do I invite a new developer to our team? I can't find the option in the account settings.,Low,Account,,0.0,,0.0,
Cannot log in,Multiple users are unable to log in when using using Firefox on Windows 11. The console shows a JavaScript error.,Critical,Technical,,0.0,,0.0,
Invoice for July 2025 is missing,I cannot find the invoice for July 2025 in my dashboard's billing section. Could you please resend it to our billing contact email?,Low,Billing,,0.0,,0.0,
Feature Idea: dark mode,It would be extremely helpful if you could add a dark mode. This would help us reset my password much more efficiently.,Low,Feature Request,,0.0,,0.0,
Password reset not working,I requested a password reset but the email never arrived in my inbox. I've checked my spam folder and tried again.,High,Account,,0.0,,0.0,
Cannot upload a file,Multiple users are unable to upload a file when using using an automated script with cURL. The console shows a JavaScript error.,High,Technical,,0.0,,0.0,
API returning 403 Forbidden,Our application is receiving a consistent '403 Forbidden' from the /v2/reports endpoint. This started yesterday at 4 PM UTC.,High,Technical,,0.0,,0.0,
Integration with Salesforce,We rely heavily on Salesforce and would love to see a native integration to sync data between your platform and theirs.,Low,Feature Request,,0.0,,0.0,
Data sync issue for Solutions LLC,There is a data synchronization delay of over nearly 30 minutes for new records to appear on the main dashboard. This is affecting our operations.,Medium,Technical,,0.0,,0.0,
Dashboard not loading,The login service is showing a blank white screen. No data is loading. This is impacting all our users since yesterday at 4 PM UTC.,Critical,Technical,,0.0,,0.0,
API returning 401 Unauthorized,Our application is receiving a consistent '401 Unauthorized' from the /v1/auth/token endpoint. This started 2 hours ago.,Critical,Technical,,0.0,,0.0,
UI bug on user profile,"When we try to save changes on the user profile, the dashboard behaves unexpectedly. It should do X but it does Y instead.",Medium,Technical,,0.0,,0.0,
Help with SSO configuration,We are trying to set up SSO with Okta and are running into an 'invalid configuration' error. Can you provide assistance or documentation?,Medium,Account,,0.0,,0.0,
Feature Idea: audit logs,It would be extremely helpful if you could add a audit logs. This would help us log in much more efficiently.,Low,Feature Request,,0.0,,0.0,
Request to delete account,Please proceed with the permanent deletion of our account (Innovate Inc.) and all associated data as per our company policy.,Medium,Account,,0.0,,0.0,
User permission bug,A user with an 'Admin' role cannot access the user profile; they are getting a 'permission denied' error.,High,Account,,0.0,,0.0,
Webhook delivery failing,We stopped receiving 'payment.failed' webhooks. The last successful delivery was yesterday at 4 PM UTC. We have checked our endpoint and it is healthy.,High,Technical,,0.0,,0.0,
Cannot update payment info,Multiple users are unable to update payment info when using from our mobile app (iOS). The console shows a JavaScript error.,High,Technical,,0.0,,0.0,
Add support for JSON exports,"We would like to request the ability to export reports in JSON format, in addition to the existing options.",Low,Feature Request,,0.0,,0.0,
Incorrect charge of $29,"I was charged $29 but my plan is the Enterprise plan, which should be a different price. Please correct this and refund the difference.",High,Billing,,0.0,,0.0,
Service is down,"Our monitoring shows your service is unreachable. The status page is green, but we are fully down. This is critical.",Critical,Technical,,0.0,,0.0,
Authentication failure for v1/invoices,Our application is receiving a consistent '403 Forbidden' from the /v1/invoices endpoint. This started yesterday at 4 PM UTC.,High,Technical,,0.0,,0.0,
Incorrect charge of $19.99,"I was charged $19.99 but my plan is the Pro plan, which should be a different price. Please correct this and refund the difference.",High,Billing,,0.0,,0.0,
Password reset not working,I requested a password reset but the email never arrived in my inbox. I've checked my spam folder and tried again.,High,Account,,0.0,,0.0,
Upgrade plan to Pro,We would like to upgrade our account to the Pro tier. Please provide instructions on how to proceed.,Low,Billing,,0.0,,0.0,
UI bug on user profile,"When we try to save changes on the user profile, the billing portal behaves unexpectedly. It should do X but it does Y instead.",Low,Technical,,0.0,,0.0,
Invoice for Q3 is missing,I cannot find the invoice for Q3 in my dashboard's billing section. Could you please resend it to our billing contact email?,Low,Billing,,0.0,,0.0,
Feature Idea: custom reporting filters,It would be extremely helpful if you could add a custom reporting filters. This would help us save changes much more efficiently.,Low,Feature Request,,0.0,,0.0,
Need to change primary email,"I need to update the primary email address on my account, but the interface does not allow me to change it.",Medium,Account,,0.0,,0.0,
API returning 503 Service Unavailable,Our application is receiving a consistent '503 Service Unavailable' from the /v2/reports endpoint. This started yesterday at 4 PM UTC.,Critical,Technical,,0.0,,0.0,
Payment method declined,My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?,High,Billing,,0.0,,0.0,
Webhook delivery failing,We stopped receiving 'user.created' webhooks. The last successful delivery was a few minutes ago. We have checked our endpoint and it is healthy.,High,Technical,,0.0,,0.0,
High latency in US-East-1,We're observing response times of over 30 seconds from the database cluster in US-East-1. This is a major degradation.,Critical,Technical,,0.0,,0.0,
Dashboard not loading,The user management page is showing a blank white screen. No data is loading. This is impacting all our users since a few minutes ago.,Critical,Technical,,0.0,,0.0,
Cannot upload a file,Multiple users are unable to upload a file when using on Chrome on macOS. The console shows a JavaScript error.,High,Technical,,0.0,,0.0,
Help with SSO configuration,We are trying to set up SSO with Azure AD and are running into an 'invalid configuration' error. Can you provide assistance or documentation?,Medium,Account,,0.0,,0.0,
Feature Idea: 2FA support via authenticator app,It would be extremely helpful if you could add a 2FA support via authenticator app. This would help us log in much more efficiently.,Low,Feature Request,,0.0,,0.0,
Export to PDF is broken,The data export feature for PDF is generating an empty or corrupted file. We have tried multiple times.,High,Technical,,0.0,,0.0,
Account access issue,"My account has been suspended or locked without warning, and I'm not sure why. I need access restored immediately to manage our services.",Critical,Account,,0.0,,0.0,
API returning 500 Internal Server Error,Our application is receiving a consistent '500 Internal Server Error' from the /v2/users endpoint. This started a few minutes ago.,Critical,Technical,,0.0,,0.0,
High latency in EU-West-2,We're observing response times of over 10 seconds from the database cluster in EU-West-2. This is a major degradation.,Critical,Technical,,0.0,,0.0,
Data sync issue for Innovate Inc.,There is a data synchronization delay of over 15 minutes for new records to appear on the user profile. This is affecting our operations.,Medium,Technical,,0.0,,0.0,
Invoice for this month is missing,I cannot find the invoice for this month in my dashboard's billing section. Could you please resend it to our billing contact email?,Low,Billing,,0.0,,0.0,
Cannot log in,Multiple users are unable to log in when using on Chrome on macOS. The console shows a JavaScript error.,Critical,Technical,,0.0,,0.0,
Dashboard not loading,The data export feature is showing a blank white screen. No data is loading. This is impacting all our users since this morning.,Critical,Technical,,0.0,,0.0,
Request to delete account,Please proceed with the permanent deletion of our account (NextGen Systems) and all associated data as per our company policy.,Medium,Account,,0.0,,0.0,
Payment method declined,My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?,High,Billing,,0.0,,0.0,
API returning CORS policy violation,Our application is receiving a consistent 'CORS policy violation' from the /v1/auth/token endpoint. This started a few minutes ago.,High,Technical,,0.0,,0.0,
Incorrect charge of $19.99,"I was charged $19.99 but my plan is the Pro plan, which should be a different price. Please correct this and refund the difference.",High,Billing,,0.0,,0.0,
Requesting a refund,"Due to the service outage for 8 hours on Tuesday, we are requesting a partial credit or refund for this month's service fee.",High,Billing,,0.0,,0.0,
UI bug on main dashboard,"When we try to log in on the main dashboard, the API behaves unexpectedly. It should do X but it does Y instead.",Medium,Technical,,0.0,,0.0,
Suggestion for API endpoint /v2/users,Could you enhance the /v2/users endpoint to include sorting by metadata? This would save us from making multiple API calls.,Low,Feature Request,,0.0,,0.0,
Service is down,"Our monitoring shows your service is unreachable. The status page is green, but we are fully down. This is critical.",Critical,Technical,,0.0,,0.0,
Integration with Zapier,We rely heavily on Zapier and would love to see a native integration to sync data between your platform and theirs.,Low,Feature Request,,0.0,,0.0,
Password reset not working,I requested a password reset but the email never arrived in my inbox. I've checked my spam folder and tried again.,High,Account,,0.0,,0.0,
API returning 403 Forbidden,Our application is receiving a consistent '403 Forbidden' from the /v1/auth/token endpoint. This started this morning.,High,Technical,,0.0,,0.0,
Upgrade plan to Scale,We would like to upgrade our account to the Scale tier. Please provide instructions on how to proceed.,Low,Billing,,0.0,,0.0,
Need to cancel subscription,Please cancel our Growth subscription at the end of the current billing cycle. We no longer require the service.,Medium,Billing,,0.0,,0.0,
Account access issue,"My account has been suspended or locked without warning, and I'm not sure why. I need access restored immediately to manage our services.",Critical,Account,,0.0,,0.0,
User permission bug,A user with an 'Admin' role cannot access the API keys section; they are getting a 'permission denied' error.,High,Account,,0.0,,0.0,
Cannot view reports,Multiple users are unable to view reports when using from our mobile app (iOS). The console shows a JavaScript error.,High,Technical,,0.0,,0.0,
Help with SSO configuration,We are trying to set up SSO with Google Workspace and are running into an 'invalid configuration' error. Can you provide assistance or documentation?,Medium,Account,,0.0,,0.0,
Request for better documentation,The documentation for the database cluster is a bit sparse. It would be great to have more code examples.,Low,Feature Request,,0.0,,0.0,
